Crop,State,Season,Soil_Type,Weather_Condition,Area,Rainfall,Temperature,Humidity,Fertilizer_Usage,Pesticide_Usage,Yield_Per_Hectare,Total_Yield
Groundnut,Gujarat,Winter,Silty,Cloudy,30.13,558.8,19.7,24.4,439.8,3.05,2632.86,79337.48
Sugarcane,Karnataka,Summer,Clay,Rainy,0.85,253.0,30.7,50.0,71.0,4.87,63766.06,54187.25
Maize,UP,Summer,Silty,Sunny,43.07,1764.7,28.5,21.0,474.0,2.86,4529.85,195087.3
Wheat,AP,Summer,Silty,Humid,30.69,2116.3,20.2,49.3,132.0,3.8,4476.57,137407.45
Soybean,Karnataka,Rabi,Peaty,Humid,2.05,2137.3,28.5,49.6,467.0,3.66,3684.05,7552.33
Jowar,Haryana,Winter,Peaty,Dry,27.21,1549.5,44.0,65.5,174.2,1.55,1211.97,32983.56
Rice,Gujarat,Kharif,Clay,Sunny,0.77,2075.6,36.2,74.7,397.1,0.46,4784.27,3699.89
Groundnut,Punjab,Summer,Clay,Rainy,3.65,915.3,24.8,74.7,336.9,4.45,3312.76,12078.79
Rice,Punjab,Winter,Loamy,Cloudy,36.23,742.8,22.7,23.0,369.8,0.64,3469.87,125698.23
Groundnut,MP,Summer,Clay,Dry,45.42,773.4,27.3,76.7,153.0,0.48,2247.33,102083.92
Maize,Bihar,Summer,Peaty,Rainy,40.5,1656.8,41.1,80.3,134.0,4.47,3993.85,161758.61
Jowar,Rajasthan,Kharif,Peaty,Sunny,32.56,201.2,25.6,42.9,124.1,2.72,1359.72,44273.32
Sugarcane,Gujarat,Zaid,Clay,Rainy,47.17,943.4,30.6,72.7,213.6,4.86,75960.81,3583377.49
Rice,Haryana,Zaid,Clay,Sunny,25.38,318.4,23.4,88.1,157.8,0.81,3501.64,88880.89
Bajra,Gujarat,Summer,Peaty,Cloudy,12.26,1874.9,26.0,67.4,335.1,2.73,2415.36,29619.71
Maize,MP,Summer,Silty,Cloudy,1.32,1377.8,21.8,68.4,128.5,3.49,3397.73,4488.73
Groundnut,Rajasthan,Kharif,Sandy,Cloudy,6.12,2326.8,41.3,39.3,347.0,4.1,3855.7,23585.11
Wheat,Maharashtra,Summer,Clay,Dry,44.19,634.0,23.4,72.5,431.0,4.3,6205.76,274235.41
Soybean,Punjab,Summer,Clay,Cloudy,8.5,2266.7,33.2,20.7,95.7,3.35,2635.94,22407.11
Jowar,Punjab,Kharif,Silty,Humid,24.95,611.3,26.0,75.8,374.4,1.61,1943.54,48486.98
Maize,Karnataka,Winter,Peaty,Cloudy,45.35,1199.1,25.5,68.4,351.0,4.33,4555.53,206601.97
Cotton,Maharashtra,Kharif,Loamy,Sunny,44.23,1919.8,43.6,44.8,298.7,2.9,1640.14,72548.33
Rice,AP,Winter,Silty,Dry,13.79,1316.1,26.2,49.6,429.9,4.66,5325.63,73437.86
Bajra,Gujarat,Rabi,Sandy,Sunny,35.0,1815.7,25.8,42.0,414.2,4.07,3256.83,113996.34
Jowar,AP,Summer,Chalky,Rainy,25.33,2036.1,34.5,72.6,408.1,4.46,2248.75,56949.8
Wheat,Bihar,Zaid,Peaty,Sunny,27.36,859.0,32.7,22.3,66.8,4.13,2653.18,72593.49
Soybean,Punjab,Summer,Loamy,Dry,41.48,824.5,44.0,54.3,428.9,1.05,2321.55,96296.9
Barley,Bihar,Winter,Silty,Rainy,16.49,2028.9,23.1,52.9,85.3,0.22,2800.07,46162.99
Sugarcane,Maharashtra,Kharif,Peaty,Humid,3.38,2305.0,28.3,38.0,92.2,1.0,86606.73,292781.24
Groundnut,Bihar,Winter,Chalky,Cloudy,18.12,1943.0,15.4,28.7,70.7,0.3,2313.29,41918.39
Cotton,Bihar,Summer,Chalky,Rainy,24.83,1289.0,20.2,52.5,229.3,3.12,1879.12,46667.96
Bajra,Punjab,Zaid,Sandy,Rainy,27.2,1773.1,33.5,90.8,474.9,4.35,3091.95,84098.62
Cotton,Punjab,Rabi,Silty,Cloudy,23.18,1454.9,43.2,49.0,482.5,4.54,2326.23,53930.21
